Station,best nprd,best season
X48459_MAX,10,1
X48459_MIN,5,1
X48461_MAX,10,1
X48461_MIN,10,1
X48477_MAX,5,1
X48477_MIN,5,1
X48478_MAX,5,1
X48478_MIN,5,1
X48459_HMD,10,1
X48461_HMD,10,1
X48477_HMD,10,1
X48478_HMD,10,1
X48478_SLR,5,1
X48461_SLR,5,1
X478002,10,1
X478201,10,1
X459201,10,1
X459203,10,1
X459204,5,1
X48012,10,1
X48032,5,1
X48053,10,1
X48092,10,1
X48172,10,1
X48062,10,1
X48182,10,1
X48121,10,1
X9042,5,1
X9052,10,1
X9062,5,1
X9102,10,1
X9160,10,1
X48160,10,1
X48201,10,1
X48131,5,1
X48100,10,1
X48150,10,1
X48193,10,1
X48241,10,1
X478002_Wet,5,1
X478201_Wet,5,1
X459201_Wet,5,1
X459203_Wet,5,1
X459204_Wet,10,1
X48012_Wet,5,1
X48032_Wet,10,1
X48053_Wet,10,1
X48092_Wet,5,1
X48172_Wet,10,1
X48062_Wet,5,1
X48182_Wet,10,1
X48121_Wet,10,1
X9042_Wet,5,1
X9052_Wet,10,1
X9062_Wet,5,1
X9102_Wet,10,1
X9160_Wet,5,1
X48160_Wet,5,1
X48201_Wet,5,1
X48131_Wet,10,1
X48100_Wet,10,1
X48150_Wet,5,1
X48193_Wet,5,1
X48241_Wet,10,1
X478002_WetRate,5,1
X478201_WetRate,5,1
X459201_WetRate,5,1
X459203_WetRate,5,1
X459204_WetRate,10,1
X48012_WetRate,5,1
X48032_WetRate,10,1
X48053_WetRate,10,1
X48092_WetRate,5,1
X48172_WetRate,10,1
X48062_WetRate,5,1
X48182_WetRate,10,1
X48121_WetRate,10,1
X9042_WetRate,5,1
X9052_WetRate,10,1
X9062_WetRate,5,1
X9102_WetRate,5,1
X9160_WetRate,5,1
X48160_WetRate,5,1
X48201_WetRate,5,1
X48131_WetRate,10,1
X48100_WetRate,10,1
X48150_WetRate,5,1
X48193_WetRate,5,1
X48241_WetRate,5,1
