Title,Station,UTM-E,UTM-N,Elevation
X48459_MAX,48459,715080,1478114,1
X48459_MIN,48459,715080,1478114,1
X48461_MAX,48461,702227,1428965,59
X48461_MIN,48461,702227,1428965,59
X48477_MAX,48477,707211,1400720,16
X48477_MIN,48477,707211,1400720,16
X48478_MAX,48478,747191,1401561,3
X48478_MIN,48478,747191,1401561,3
X48459_HMD,48459,715080,1478114,1
X48461_HMD,48461,702227,1428965,59
X48477_HMD,48477,707211,1400720,16
X48478_HMD,48478,747191,1401561,3
X48478_SLR,48478,747191,1401561,3
X48461_SLR,48461,702227,1428965,59
X478002,478002,750092.59,1413995.63,0
X478201,478201,754801.86,1397614.81,2.606
X459201,459201,715384.26,1477693.93,0.863
X459203,459203,702532.19,1428548.27,58.929
X459204,459204,707515.75,1400306.13,16
X48012,48012,747490.02,1401146.75,0
X48032,48032,788332.02,1413620.41,0
X48053,48053,731566.98,1408481.27,43.348
X48092,48092,740468.63,1434317.2,0
X48172,48172,773080.02,1429151.9,0
X48062,48062,738765.57,1417770.11,0
X48182,48182,718939.97,1412075.95,0
X48121,48121,748879.06,1428304.91,0
X9042,9042,709583.37,1457389.3,0
X9052,9052,707046.76,1545675.02,0
X9062,9062,729299.36,1472088.29,0
X9102,9102,711692.46,1408325.12,0
X9160,9160,713031.39,1460093.65,0
X48160,48160,749729.66,1418164.48,0
X48201,48201,790187.46,1433686.77,0
X48131,48131,782018.44,1425643.72,0
X48100,48100,747699.49,1402044.95,0
X48150,48150,726923.91,1431868.13,0
X48193,48193,754801.86,1397614.81,2.606
X48241,48241,784222.27,1422500.3,0
